win rate: 0.610	loss rate: 0.273	tie rate: 0.117
win rate: 0.824	loss rate: 0.120	tie rate: 0.056
win rate: 0.861	loss rate: 0.096	tie rate: 0.043
win rate: 0.885	loss rate: 0.065	tie rate: 0.050
win rate: 0.949	loss rate: 0.030	tie rate: 0.021
win rate: 0.885	loss rate: 0.070	tie rate: 0.045
win rate: 0.916	loss rate: 0.052	tie rate: 0.032
win rate: 0.860	loss rate: 0.097	tie rate: 0.043
win rate: 0.924	loss rate: 0.051	tie rate: 0.025
win rate: 0.824	loss rate: 0.119	tie rate: 0.057
win rate: 0.590	loss rate: 0.274	tie rate: 0.136
win rate: 0.846	loss rate: 0.096	tie rate: 0.058
win rate: 0.864	loss rate: 0.099	tie rate: 0.037
win rate: 0.837	loss rate: 0.111	tie rate: 0.052
win rate: 0.912	loss rate: 0.050	tie rate: 0.038
win rate: 0.892	loss rate: 0.071	tie rate: 0.037
win rate: 0.911	loss rate: 0.051	tie rate: 0.038
win rate: 0.838	loss rate: 0.111	tie rate: 0.051
win rate: 0.864	loss rate: 0.083	tie rate: 0.053
win rate: 0.910	loss rate: 0.053	tie rate: 0.037
win rate: 0.567	loss rate: 0.307	tie rate: 0.126
win rate: 0.845	loss rate: 0.102	tie rate: 0.053
win rate: 0.908	loss rate: 0.058	tie rate: 0.034
win rate: 0.880	loss rate: 0.067	tie rate: 0.053
win rate: 0.886	loss rate: 0.067	tie rate: 0.047
win rate: 0.836	loss rate: 0.110	tie rate: 0.054
win rate: 0.768	loss rate: 0.166	tie rate: 0.066
win rate: 0.900	loss rate: 0.067	tie rate: 0.033
win rate: 0.863	loss rate: 0.106	tie rate: 0.031
win rate: 0.855	loss rate: 0.084	tie rate: 0.061
win rate: 0.593	loss rate: 0.283	tie rate: 0.124
win rate: 0.881	loss rate: 0.068	tie rate: 0.051
win rate: 0.898	loss rate: 0.054	tie rate: 0.048
win rate: 0.886	loss rate: 0.074	tie rate: 0.040
win rate: 0.931	loss rate: 0.045	tie rate: 0.024
win rate: 0.911	loss rate: 0.051	tie rate: 0.038
win rate: 0.907	loss rate: 0.060	tie rate: 0.033
win rate: 0.871	loss rate: 0.092	tie rate: 0.037
win rate: 0.778	loss rate: 0.151	tie rate: 0.071
win rate: 0.825	loss rate: 0.122	tie rate: 0.053
win rate: 0.578	loss rate: 0.292	tie rate: 0.130
win rate: 0.841	loss rate: 0.100	tie rate: 0.059
win rate: 0.837	loss rate: 0.106	tie rate: 0.057
win rate: 0.922	loss rate: 0.052	tie rate: 0.026
win rate: 0.867	loss rate: 0.088	tie rate: 0.045
win rate: 0.893	loss rate: 0.067	tie rate: 0.040
win rate: 0.849	loss rate: 0.091	tie rate: 0.060
win rate: 0.866	loss rate: 0.100	tie rate: 0.034
win rate: 0.831	loss rate: 0.117	tie rate: 0.052
win rate: 0.809	loss rate: 0.131	tie rate: 0.060
win rate: 0.562	loss rate: 0.317	tie rate: 0.121
win rate: 0.856	loss rate: 0.103	tie rate: 0.041
win rate: 0.918	loss rate: 0.055	tie rate: 0.027
win rate: 0.919	loss rate: 0.057	tie rate: 0.024
win rate: 0.815	loss rate: 0.126	tie rate: 0.059
win rate: 0.841	loss rate: 0.114	tie rate: 0.045
win rate: 0.786	loss rate: 0.143	tie rate: 0.071
win rate: 0.924	loss rate: 0.047	tie rate: 0.029
win rate: 0.876	loss rate: 0.096	tie rate: 0.028
win rate: 0.906	loss rate: 0.065	tie rate: 0.029
win rate: 0.582	loss rate: 0.283	tie rate: 0.135
win rate: 0.834	loss rate: 0.114	tie rate: 0.052
win rate: 0.833	loss rate: 0.112	tie rate: 0.055
win rate: 0.891	loss rate: 0.057	tie rate: 0.052
win rate: 0.871	loss rate: 0.087	tie rate: 0.042
win rate: 0.887	loss rate: 0.069	tie rate: 0.044
win rate: 0.844	loss rate: 0.112	tie rate: 0.044
win rate: 0.902	loss rate: 0.069	tie rate: 0.029
win rate: 0.874	loss rate: 0.073	tie rate: 0.053
win rate: 0.883	loss rate: 0.074	tie rate: 0.043
win rate: 0.621	loss rate: 0.251	tie rate: 0.128
win rate: 0.884	loss rate: 0.089	tie rate: 0.027
win rate: 0.928	loss rate: 0.043	tie rate: 0.029
win rate: 0.829	loss rate: 0.121	tie rate: 0.050
win rate: 0.911	loss rate: 0.057	tie rate: 0.032
win rate: 0.848	loss rate: 0.099	tie rate: 0.053
win rate: 0.896	loss rate: 0.070	tie rate: 0.034
win rate: 0.836	loss rate: 0.108	tie rate: 0.056
win rate: 0.849	loss rate: 0.120	tie rate: 0.031
win rate: 0.906	loss rate: 0.058	tie rate: 0.036
win rate: 0.588	loss rate: 0.265	tie rate: 0.147
win rate: 0.878	loss rate: 0.091	tie rate: 0.031
win rate: 0.872	loss rate: 0.094	tie rate: 0.034
win rate: 0.869	loss rate: 0.092	tie rate: 0.039
win rate: 0.867	loss rate: 0.082	tie rate: 0.051
win rate: 0.881	loss rate: 0.084	tie rate: 0.035
win rate: 0.880	loss rate: 0.087	tie rate: 0.033
win rate: 0.884	loss rate: 0.071	tie rate: 0.045
win rate: 0.890	loss rate: 0.084	tie rate: 0.026
win rate: 0.889	loss rate: 0.065	tie rate: 0.046
win rate: 0.604	loss rate: 0.280	tie rate: 0.116
win rate: 0.893	loss rate: 0.072	tie rate: 0.035
win rate: 0.873	loss rate: 0.085	tie rate: 0.042
win rate: 0.849	loss rate: 0.107	tie rate: 0.044
win rate: 0.928	loss rate: 0.044	tie rate: 0.028
win rate: 0.870	loss rate: 0.082	tie rate: 0.048
win rate: 0.878	loss rate: 0.079	tie rate: 0.043
win rate: 0.853	loss rate: 0.100	tie rate: 0.047
win rate: 0.923	loss rate: 0.032	tie rate: 0.045
win rate: 0.833	loss rate: 0.098	tie rate: 0.069
win rate: 0.545	loss rate: 0.302	tie rate: 0.153
win rate: 0.901	loss rate: 0.048	tie rate: 0.051
win rate: 0.913	loss rate: 0.045	tie rate: 0.042
win rate: 0.928	loss rate: 0.053	tie rate: 0.019
win rate: 0.904	loss rate: 0.059	tie rate: 0.037
win rate: 0.856	loss rate: 0.100	tie rate: 0.044
win rate: 0.884	loss rate: 0.084	tie rate: 0.032
win rate: 0.920	loss rate: 0.056	tie rate: 0.024
win rate: 0.824	loss rate: 0.122	tie rate: 0.054
win rate: 0.847	loss rate: 0.125	tie rate: 0.028
win rate: 0.594	loss rate: 0.281	tie rate: 0.125
win rate: 0.861	loss rate: 0.084	tie rate: 0.055
win rate: 0.912	loss rate: 0.061	tie rate: 0.027
win rate: 0.904	loss rate: 0.053	tie rate: 0.043
win rate: 0.882	loss rate: 0.070	tie rate: 0.048
win rate: 0.784	loss rate: 0.150	tie rate: 0.066
win rate: 0.816	loss rate: 0.131	tie rate: 0.053
win rate: 0.868	loss rate: 0.099	tie rate: 0.033
win rate: 0.820	loss rate: 0.119	tie rate: 0.061
win rate: 0.900	loss rate: 0.056	tie rate: 0.044
win rate: 0.592	loss rate: 0.289	tie rate: 0.119
win rate: 0.880	loss rate: 0.072	tie rate: 0.048
win rate: 0.912	loss rate: 0.066	tie rate: 0.022
win rate: 0.816	loss rate: 0.127	tie rate: 0.057
win rate: 0.850	loss rate: 0.105	tie rate: 0.045
win rate: 0.919	loss rate: 0.037	tie rate: 0.044
win rate: 0.843	loss rate: 0.104	tie rate: 0.053
win rate: 0.877	loss rate: 0.078	tie rate: 0.045
win rate: 0.824	loss rate: 0.114	tie rate: 0.062
win rate: 0.868	loss rate: 0.086	tie rate: 0.046
win rate: 0.618	loss rate: 0.270	tie rate: 0.112
win rate: 0.914	loss rate: 0.048	tie rate: 0.038
win rate: 0.789	loss rate: 0.158	tie rate: 0.053
win rate: 0.893	loss rate: 0.055	tie rate: 0.052
win rate: 0.864	loss rate: 0.093	tie rate: 0.043
win rate: 0.860	loss rate: 0.099	tie rate: 0.041
win rate: 0.899	loss rate: 0.064	tie rate: 0.037
win rate: 0.874	loss rate: 0.095	tie rate: 0.031
win rate: 0.923	loss rate: 0.036	tie rate: 0.041
win rate: 0.887	loss rate: 0.067	tie rate: 0.046
win rate: 0.604	loss rate: 0.261	tie rate: 0.135
win rate: 0.900	loss rate: 0.069	tie rate: 0.031
win rate: 0.896	loss rate: 0.061	tie rate: 0.043
win rate: 0.921	loss rate: 0.042	tie rate: 0.037
win rate: 0.886	loss rate: 0.076	tie rate: 0.038
win rate: 0.878	loss rate: 0.087	tie rate: 0.035
win rate: 0.819	loss rate: 0.115	tie rate: 0.066
win rate: 0.907	loss rate: 0.053	tie rate: 0.040
win rate: 0.887	loss rate: 0.077	tie rate: 0.036
win rate: 0.866	loss rate: 0.073	tie rate: 0.061
win rate: 0.571	loss rate: 0.300	tie rate: 0.129
win rate: 0.841	loss rate: 0.114	tie rate: 0.045
win rate: 0.881	loss rate: 0.076	tie rate: 0.043
win rate: 0.876	loss rate: 0.078	tie rate: 0.046
win rate: 0.921	loss rate: 0.045	tie rate: 0.034
win rate: 0.868	loss rate: 0.099	tie rate: 0.033
win rate: 0.872	loss rate: 0.084	tie rate: 0.044
win rate: 0.846	loss rate: 0.111	tie rate: 0.043
win rate: 0.833	loss rate: 0.100	tie rate: 0.067
win rate: 0.878	loss rate: 0.093	tie rate: 0.029
win rate: 0.582	loss rate: 0.292	tie rate: 0.126
win rate: 0.814	loss rate: 0.132	tie rate: 0.054
win rate: 0.881	loss rate: 0.063	tie rate: 0.056
win rate: 0.906	loss rate: 0.059	tie rate: 0.035
win rate: 0.904	loss rate: 0.052	tie rate: 0.044
win rate: 0.895	loss rate: 0.062	tie rate: 0.043
win rate: 0.883	loss rate: 0.065	tie rate: 0.052
win rate: 0.916	loss rate: 0.035	tie rate: 0.049
win rate: 0.895	loss rate: 0.063	tie rate: 0.042
win rate: 0.903	loss rate: 0.044	tie rate: 0.053
win rate: 0.553	loss rate: 0.306	tie rate: 0.141
win rate: 0.883	loss rate: 0.074	tie rate: 0.043
win rate: 0.755	loss rate: 0.160	tie rate: 0.085
win rate: 0.888	loss rate: 0.076	tie rate: 0.036
win rate: 0.831	loss rate: 0.108	tie rate: 0.061
win rate: 0.806	loss rate: 0.141	tie rate: 0.053
win rate: 0.866	loss rate: 0.088	tie rate: 0.046
win rate: 0.866	loss rate: 0.084	tie rate: 0.050
win rate: 0.798	loss rate: 0.128	tie rate: 0.074
win rate: 0.755	loss rate: 0.163	tie rate: 0.082
win rate: 0.601	loss rate: 0.280	tie rate: 0.119
win rate: 0.754	loss rate: 0.144	tie rate: 0.102
win rate: 0.877	loss rate: 0.084	tie rate: 0.039
win rate: 0.904	loss rate: 0.054	tie rate: 0.042
win rate: 0.908	loss rate: 0.060	tie rate: 0.032
win rate: 0.823	loss rate: 0.114	tie rate: 0.063
win rate: 0.864	loss rate: 0.097	tie rate: 0.039
win rate: 0.849	loss rate: 0.101	tie rate: 0.050
win rate: 0.826	loss rate: 0.125	tie rate: 0.049
win rate: 0.868	loss rate: 0.066	tie rate: 0.066
win rate: 0.584	loss rate: 0.285	tie rate: 0.131
win rate: 0.840	loss rate: 0.110	tie rate: 0.050
win rate: 0.868	loss rate: 0.090	tie rate: 0.042
win rate: 0.841	loss rate: 0.112	tie rate: 0.047
win rate: 0.883	loss rate: 0.067	tie rate: 0.050
win rate: 0.835	loss rate: 0.112	tie rate: 0.053
win rate: 0.886	loss rate: 0.072	tie rate: 0.042
win rate: 0.895	loss rate: 0.060	tie rate: 0.045
win rate: 0.853	loss rate: 0.104	tie rate: 0.043
win rate: 0.869	loss rate: 0.104	tie rate: 0.027
win rate: 0.603	loss rate: 0.280	tie rate: 0.117
win rate: 0.799	loss rate: 0.138	tie rate: 0.063
win rate: 0.839	loss rate: 0.107	tie rate: 0.054
win rate: 0.893	loss rate: 0.066	tie rate: 0.041
win rate: 0.888	loss rate: 0.068	tie rate: 0.044
win rate: 0.881	loss rate: 0.087	tie rate: 0.032
win rate: 0.827	loss rate: 0.115	tie rate: 0.058
win rate: 0.776	loss rate: 0.131	tie rate: 0.093
win rate: 0.874	loss rate: 0.083	tie rate: 0.043
win rate: 0.860	loss rate: 0.096	tie rate: 0.044
win rate: 0.586	loss rate: 0.276	tie rate: 0.138
win rate: 0.888	loss rate: 0.065	tie rate: 0.047
win rate: 0.911	loss rate: 0.056	tie rate: 0.033
win rate: 0.845	loss rate: 0.084	tie rate: 0.071
win rate: 0.858	loss rate: 0.091	tie rate: 0.051
win rate: 0.863	loss rate: 0.105	tie rate: 0.032
win rate: 0.871	loss rate: 0.084	tie rate: 0.045
win rate: 0.901	loss rate: 0.055	tie rate: 0.044
win rate: 0.835	loss rate: 0.102	tie rate: 0.063
win rate: 0.839	loss rate: 0.101	tie rate: 0.060
win rate: 0.554	loss rate: 0.339	tie rate: 0.107
win rate: 0.814	loss rate: 0.136	tie rate: 0.050
win rate: 0.906	loss rate: 0.069	tie rate: 0.025
win rate: 0.932	loss rate: 0.041	tie rate: 0.027
win rate: 0.907	loss rate: 0.053	tie rate: 0.040
win rate: 0.871	loss rate: 0.069	tie rate: 0.060
win rate: 0.927	loss rate: 0.045	tie rate: 0.028
win rate: 0.919	loss rate: 0.047	tie rate: 0.034
win rate: 0.895	loss rate: 0.074	tie rate: 0.031
win rate: 0.842	loss rate: 0.101	tie rate: 0.057
win rate: 0.581	loss rate: 0.298	tie rate: 0.121
win rate: 0.924	loss rate: 0.052	tie rate: 0.024
win rate: 0.843	loss rate: 0.118	tie rate: 0.039
win rate: 0.860	loss rate: 0.086	tie rate: 0.054
win rate: 0.877	loss rate: 0.087	tie rate: 0.036
win rate: 0.877	loss rate: 0.086	tie rate: 0.037
win rate: 0.852	loss rate: 0.105	tie rate: 0.043
win rate: 0.828	loss rate: 0.127	tie rate: 0.045
win rate: 0.843	loss rate: 0.097	tie rate: 0.060
win rate: 0.876	loss rate: 0.083	tie rate: 0.041
win rate: 0.580	loss rate: 0.296	tie rate: 0.124
win rate: 0.833	loss rate: 0.112	tie rate: 0.055
win rate: 0.877	loss rate: 0.096	tie rate: 0.027
win rate: 0.883	loss rate: 0.069	tie rate: 0.048
win rate: 0.898	loss rate: 0.057	tie rate: 0.045
win rate: 0.897	loss rate: 0.066	tie rate: 0.037
win rate: 0.913	loss rate: 0.055	tie rate: 0.032
win rate: 0.873	loss rate: 0.101	tie rate: 0.026
win rate: 0.866	loss rate: 0.096	tie rate: 0.038
win rate: 0.844	loss rate: 0.114	tie rate: 0.042
win rate: 0.571	loss rate: 0.303	tie rate: 0.126
win rate: 0.870	loss rate: 0.104	tie rate: 0.026
win rate: 0.821	loss rate: 0.115	tie rate: 0.064
win rate: 0.905	loss rate: 0.065	tie rate: 0.030
win rate: 0.884	loss rate: 0.068	tie rate: 0.048
win rate: 0.912	loss rate: 0.057	tie rate: 0.031
win rate: 0.839	loss rate: 0.111	tie rate: 0.050
win rate: 0.881	loss rate: 0.079	tie rate: 0.040
win rate: 0.847	loss rate: 0.105	tie rate: 0.048
win rate: 0.889	loss rate: 0.078	tie rate: 0.033
win rate: 0.613	loss rate: 0.278	tie rate: 0.109
win rate: 0.822	loss rate: 0.106	tie rate: 0.072
win rate: 0.912	loss rate: 0.057	tie rate: 0.031
win rate: 0.835	loss rate: 0.113	tie rate: 0.052
win rate: 0.869	loss rate: 0.085	tie rate: 0.046
win rate: 0.902	loss rate: 0.068	tie rate: 0.030
win rate: 0.717	loss rate: 0.210	tie rate: 0.073
win rate: 0.900	loss rate: 0.066	tie rate: 0.034
win rate: 0.801	loss rate: 0.120	tie rate: 0.079
win rate: 0.909	loss rate: 0.054	tie rate: 0.037
win rate: 0.597	loss rate: 0.284	tie rate: 0.119
win rate: 0.890	loss rate: 0.051	tie rate: 0.059
win rate: 0.867	loss rate: 0.076	tie rate: 0.057
win rate: 0.800	loss rate: 0.133	tie rate: 0.067
win rate: 0.931	loss rate: 0.044	tie rate: 0.025
win rate: 0.909	loss rate: 0.063	tie rate: 0.028
win rate: 0.896	loss rate: 0.060	tie rate: 0.044
win rate: 0.817	loss rate: 0.131	tie rate: 0.052
win rate: 0.914	loss rate: 0.042	tie rate: 0.044
win rate: 0.848	loss rate: 0.105	tie rate: 0.047
win rate: 0.583	loss rate: 0.290	tie rate: 0.127
win rate: 0.870	loss rate: 0.099	tie rate: 0.031
win rate: 0.765	loss rate: 0.156	tie rate: 0.079
win rate: 0.907	loss rate: 0.065	tie rate: 0.028
win rate: 0.866	loss rate: 0.082	tie rate: 0.052
win rate: 0.803	loss rate: 0.129	tie rate: 0.068
win rate: 0.903	loss rate: 0.060	tie rate: 0.037
win rate: 0.845	loss rate: 0.109	tie rate: 0.046
win rate: 0.909	loss rate: 0.060	tie rate: 0.031
win rate: 0.846	loss rate: 0.108	tie rate: 0.046
win rate: 0.566	loss rate: 0.291	tie rate: 0.143
win rate: 0.825	loss rate: 0.123	tie rate: 0.052
win rate: 0.928	loss rate: 0.043	tie rate: 0.029
win rate: 0.855	loss rate: 0.106	tie rate: 0.039
win rate: 0.907	loss rate: 0.048	tie rate: 0.045
win rate: 0.861	loss rate: 0.091	tie rate: 0.048
win rate: 0.848	loss rate: 0.098	tie rate: 0.054
win rate: 0.780	loss rate: 0.151	tie rate: 0.069
win rate: 0.888	loss rate: 0.083	tie rate: 0.029
win rate: 0.898	loss rate: 0.062	tie rate: 0.040
win rate: 0.626	loss rate: 0.259	tie rate: 0.115
win rate: 0.908	loss rate: 0.052	tie rate: 0.040
win rate: 0.908	loss rate: 0.049	tie rate: 0.043
win rate: 0.837	loss rate: 0.119	tie rate: 0.044
win rate: 0.852	loss rate: 0.088	tie rate: 0.060
win rate: 0.853	loss rate: 0.100	tie rate: 0.047
win rate: 0.879	loss rate: 0.090	tie rate: 0.031
win rate: 0.898	loss rate: 0.050	tie rate: 0.052
win rate: 0.840	loss rate: 0.117	tie rate: 0.043
win rate: 0.868	loss rate: 0.100	tie rate: 0.032
win rate: 0.583	loss rate: 0.282	tie rate: 0.135
win rate: 0.891	loss rate: 0.070	tie rate: 0.039
win rate: 0.905	loss rate: 0.058	tie rate: 0.037
win rate: 0.852	loss rate: 0.101	tie rate: 0.047
win rate: 0.864	loss rate: 0.097	tie rate: 0.039
win rate: 0.918	loss rate: 0.056	tie rate: 0.026
win rate: 0.897	loss rate: 0.062	tie rate: 0.041
win rate: 0.889	loss rate: 0.068	tie rate: 0.043
win rate: 0.825	loss rate: 0.132	tie rate: 0.043
win rate: 0.908	loss rate: 0.053	tie rate: 0.039
win rate: 0.562	loss rate: 0.321	tie rate: 0.117
win rate: 0.844	loss rate: 0.091	tie rate: 0.065
win rate: 0.873	loss rate: 0.083	tie rate: 0.044
win rate: 0.894	loss rate: 0.065	tie rate: 0.041
win rate: 0.913	loss rate: 0.058	tie rate: 0.029
win rate: 0.851	loss rate: 0.110	tie rate: 0.039
win rate: 0.875	loss rate: 0.086	tie rate: 0.039
win rate: 0.889	loss rate: 0.076	tie rate: 0.035
win rate: 0.856	loss rate: 0.099	tie rate: 0.045
win rate: 0.811	loss rate: 0.110	tie rate: 0.079
win rate: 0.585	loss rate: 0.301	tie rate: 0.114
win rate: 0.922	loss rate: 0.039	tie rate: 0.039
win rate: 0.899	loss rate: 0.063	tie rate: 0.038
win rate: 0.894	loss rate: 0.058	tie rate: 0.048
win rate: 0.924	loss rate: 0.051	tie rate: 0.025
win rate: 0.873	loss rate: 0.077	tie rate: 0.050
win rate: 0.832	loss rate: 0.104	tie rate: 0.064
win rate: 0.854	loss rate: 0.110	tie rate: 0.036
win rate: 0.876	loss rate: 0.072	tie rate: 0.052
win rate: 0.802	loss rate: 0.132	tie rate: 0.066
win rate: 0.619	loss rate: 0.268	tie rate: 0.113
win rate: 0.859	loss rate: 0.090	tie rate: 0.051
win rate: 0.886	loss rate: 0.063	tie rate: 0.051
win rate: 0.845	loss rate: 0.103	tie rate: 0.052
win rate: 0.858	loss rate: 0.085	tie rate: 0.057
win rate: 0.880	loss rate: 0.084	tie rate: 0.036
win rate: 0.904	loss rate: 0.068	tie rate: 0.028
win rate: 0.857	loss rate: 0.096	tie rate: 0.047
win rate: 0.879	loss rate: 0.092	tie rate: 0.029
win rate: 0.824	loss rate: 0.134	tie rate: 0.042
win rate: 0.584	loss rate: 0.293	tie rate: 0.123
win rate: 0.927	loss rate: 0.047	tie rate: 0.026
win rate: 0.888	loss rate: 0.057	tie rate: 0.055
win rate: 0.808	loss rate: 0.135	tie rate: 0.057
win rate: 0.931	loss rate: 0.041	tie rate: 0.028
win rate: 0.914	loss rate: 0.045	tie rate: 0.041
win rate: 0.852	loss rate: 0.093	tie rate: 0.055
win rate: 0.906	loss rate: 0.060	tie rate: 0.034
win rate: 0.880	loss rate: 0.067	tie rate: 0.053
win rate: 0.861	loss rate: 0.069	tie rate: 0.070
win rate: 0.593	loss rate: 0.283	tie rate: 0.124
win rate: 0.838	loss rate: 0.108	tie rate: 0.054
win rate: 0.832	loss rate: 0.114	tie rate: 0.054
win rate: 0.909	loss rate: 0.056	tie rate: 0.035
win rate: 0.867	loss rate: 0.089	tie rate: 0.044
win rate: 0.835	loss rate: 0.112	tie rate: 0.053
win rate: 0.797	loss rate: 0.151	tie rate: 0.052
win rate: 0.826	loss rate: 0.124	tie rate: 0.050
win rate: 0.921	loss rate: 0.066	tie rate: 0.013
win rate: 0.890	loss rate: 0.061	tie rate: 0.049
win rate: 0.579	loss rate: 0.299	tie rate: 0.122
win rate: 0.850	loss rate: 0.074	tie rate: 0.076
win rate: 0.853	loss rate: 0.091	tie rate: 0.056
win rate: 0.835	loss rate: 0.113	tie rate: 0.052
win rate: 0.910	loss rate: 0.061	tie rate: 0.029
win rate: 0.896	loss rate: 0.065	tie rate: 0.039
win rate: 0.864	loss rate: 0.104	tie rate: 0.032
win rate: 0.906	loss rate: 0.062	tie rate: 0.032
win rate: 0.921	loss rate: 0.049	tie rate: 0.030
win rate: 0.886	loss rate: 0.070	tie rate: 0.044
win rate: 0.576	loss rate: 0.292	tie rate: 0.132
win rate: 0.910	loss rate: 0.048	tie rate: 0.042
win rate: 0.875	loss rate: 0.080	tie rate: 0.045
win rate: 0.828	loss rate: 0.114	tie rate: 0.058
win rate: 0.768	loss rate: 0.159	tie rate: 0.073
win rate: 0.886	loss rate: 0.062	tie rate: 0.052
win rate: 0.814	loss rate: 0.125	tie rate: 0.061
win rate: 0.874	loss rate: 0.083	tie rate: 0.043
win rate: 0.853	loss rate: 0.114	tie rate: 0.033
win rate: 0.858	loss rate: 0.097	tie rate: 0.045
win rate: 0.642	loss rate: 0.246	tie rate: 0.112
win rate: 0.831	loss rate: 0.113	tie rate: 0.056
win rate: 0.889	loss rate: 0.079	tie rate: 0.032
win rate: 0.939	loss rate: 0.025	tie rate: 0.036
win rate: 0.823	loss rate: 0.132	tie rate: 0.045
win rate: 0.824	loss rate: 0.122	tie rate: 0.054
win rate: 0.812	loss rate: 0.126	tie rate: 0.062
win rate: 0.838	loss rate: 0.105	tie rate: 0.057
win rate: 0.885	loss rate: 0.073	tie rate: 0.042
win rate: 0.878	loss rate: 0.078	tie rate: 0.044
win rate: 0.572	loss rate: 0.313	tie rate: 0.115
win rate: 0.847	loss rate: 0.091	tie rate: 0.062
win rate: 0.902	loss rate: 0.046	tie rate: 0.052
win rate: 0.868	loss rate: 0.087	tie rate: 0.045
win rate: 0.877	loss rate: 0.080	tie rate: 0.043
win rate: 0.899	loss rate: 0.066	tie rate: 0.035
win rate: 0.919	loss rate: 0.057	tie rate: 0.024
win rate: 0.860	loss rate: 0.098	tie rate: 0.042
win rate: 0.889	loss rate: 0.075	tie rate: 0.036
win rate: 0.891	loss rate: 0.059	tie rate: 0.050
win rate: 0.587	loss rate: 0.295	tie rate: 0.118
win rate: 0.815	loss rate: 0.133	tie rate: 0.052
win rate: 0.842	loss rate: 0.116	tie rate: 0.042
win rate: 0.942	loss rate: 0.029	tie rate: 0.029
win rate: 0.817	loss rate: 0.131	tie rate: 0.052
win rate: 0.835	loss rate: 0.122	tie rate: 0.043
win rate: 0.919	loss rate: 0.039	tie rate: 0.042
win rate: 0.850	loss rate: 0.095	tie rate: 0.055
win rate: 0.871	loss rate: 0.083	tie rate: 0.046
win rate: 0.913	loss rate: 0.048	tie rate: 0.039
win rate: 0.584	loss rate: 0.297	tie rate: 0.119
win rate: 0.874	loss rate: 0.072	tie rate: 0.054
win rate: 0.903	loss rate: 0.062	tie rate: 0.035
win rate: 0.789	loss rate: 0.139	tie rate: 0.072
win rate: 0.828	loss rate: 0.140	tie rate: 0.032
win rate: 0.907	loss rate: 0.064	tie rate: 0.029
win rate: 0.896	loss rate: 0.064	tie rate: 0.040
win rate: 0.776	loss rate: 0.155	tie rate: 0.069
win rate: 0.916	loss rate: 0.043	tie rate: 0.041
win rate: 0.844	loss rate: 0.101	tie rate: 0.055
win rate: 0.611	loss rate: 0.286	tie rate: 0.103
win rate: 0.921	loss rate: 0.053	tie rate: 0.026
win rate: 0.872	loss rate: 0.081	tie rate: 0.047
win rate: 0.911	loss rate: 0.050	tie rate: 0.039
win rate: 0.852	loss rate: 0.106	tie rate: 0.042
win rate: 0.909	loss rate: 0.063	tie rate: 0.028
win rate: 0.868	loss rate: 0.101	tie rate: 0.031
win rate: 0.840	loss rate: 0.108	tie rate: 0.052
win rate: 0.898	loss rate: 0.075	tie rate: 0.027
win rate: 0.839	loss rate: 0.116	tie rate: 0.045
win rate: 0.577	loss rate: 0.294	tie rate: 0.129
win rate: 0.927	loss rate: 0.040	tie rate: 0.033
win rate: 0.810	loss rate: 0.119	tie rate: 0.071
win rate: 0.842	loss rate: 0.106	tie rate: 0.052
win rate: 0.926	loss rate: 0.045	tie rate: 0.029
win rate: 0.830	loss rate: 0.116	tie rate: 0.054
win rate: 0.905	loss rate: 0.071	tie rate: 0.024
win rate: 0.842	loss rate: 0.116	tie rate: 0.042
win rate: 0.859	loss rate: 0.096	tie rate: 0.045
win rate: 0.916	loss rate: 0.053	tie rate: 0.031
win rate: 0.566	loss rate: 0.284	tie rate: 0.150
win rate: 0.823	loss rate: 0.142	tie rate: 0.035
win rate: 0.869	loss rate: 0.090	tie rate: 0.041
win rate: 0.825	loss rate: 0.112	tie rate: 0.063
win rate: 0.921	loss rate: 0.055	tie rate: 0.024
win rate: 0.908	loss rate: 0.056	tie rate: 0.036
win rate: 0.911	loss rate: 0.047	tie rate: 0.042
win rate: 0.895	loss rate: 0.067	tie rate: 0.038
win rate: 0.862	loss rate: 0.091	tie rate: 0.047
win rate: 0.927	loss rate: 0.043	tie rate: 0.030
win rate: 0.569	loss rate: 0.310	tie rate: 0.121
win rate: 0.910	loss rate: 0.056	tie rate: 0.034
win rate: 0.865	loss rate: 0.081	tie rate: 0.054
win rate: 0.908	loss rate: 0.064	tie rate: 0.028
win rate: 0.897	loss rate: 0.074	tie rate: 0.029
win rate: 0.927	loss rate: 0.039	tie rate: 0.034
win rate: 0.923	loss rate: 0.044	tie rate: 0.033
win rate: 0.888	loss rate: 0.076	tie rate: 0.036
win rate: 0.870	loss rate: 0.092	tie rate: 0.038
win rate: 0.797	loss rate: 0.155	tie rate: 0.048
win rate: 0.567	loss rate: 0.314	tie rate: 0.119
win rate: 0.845	loss rate: 0.099	tie rate: 0.056
win rate: 0.932	loss rate: 0.042	tie rate: 0.026
win rate: 0.896	loss rate: 0.060	tie rate: 0.044
win rate: 0.846	loss rate: 0.121	tie rate: 0.033
win rate: 0.861	loss rate: 0.083	tie rate: 0.056
win rate: 0.921	loss rate: 0.039	tie rate: 0.040
win rate: 0.854	loss rate: 0.101	tie rate: 0.045
win rate: 0.882	loss rate: 0.064	tie rate: 0.054
win rate: 0.848	loss rate: 0.105	tie rate: 0.047
win rate: 0.574	loss rate: 0.301	tie rate: 0.125
win rate: 0.778	loss rate: 0.157	tie rate: 0.065
